monthly_income,income_per_capita,family_size,num_dependents,age,employment_years,months_employed_last_2yrs,total_assets,total_liabilities,net_worth,credit_score,employment_status,housing_status,education_level,marital_status,nationality_group,has_disability,need_score,eligible,support_amount
15900.0,7950.0,2,1,44,4.3,11,732000.0,154900.0,577100.0,703,employed,rented,none,married,citizen,no,-0.13115166666666664,0,0.0
20590.0,6863.33,3,1,52,20.6,23,685400.0,455200.0,230200.0,667,employed,rented,diploma,married,resident,no,-0.009736666666666657,0,0.0
1940.0,277.14,7,1,53,1.7,3,71200.0,54300.0,16900.0,672,unemployed,rented,bachelor,divorced,resident,no,0.6962400833333334,1,14070.0
49960.0,12490.0,4,2,64,3.5,19,1594900.0,646500.0,948400.0,475,self_employed,rented,bachelor,married,citizen,no,-0.09027333333333334,0,0.0
610.0,122.0,5,0,47,1.9,7,193600.0,600.0,193000.0,612,unemployed,government_housing,high_school,single,resident,no,0.6404392857142857,1,10660.0
1950.0,390.0,5,3,36,0.0,5,92200.0,65600.0,26600.0,641,unemployed,family,bachelor,single,resident,no,0.7519578571428571,1,10150.0
8990.0,1798.0,5,2,24,4.6,16,389600.0,294400.0,95200.0,558,employed,rented,bachelor,married,resident,no,0.3711430952380952,0,0.0
2130.0,532.5,4,1,51,1.2,7,99400.0,60000.0,39400.0,600,unemployed,family,diploma,married,citizen,no,0.688208511904762,1,7970.0
6720.0,1344.0,5,4,57,22.0,18,245500.0,60700.0,184800.0,718,employed,owned,bachelor,married,resident,no,0.4049533333333334,1,7250.0
14350.0,14350.0,1,0,45,15.5,12,287200.0,195500.0,91700.0,623,employed,rented,high_school,single,citizen,no,0.02083357142857143,0,0.0
17650.0,17650.0,1,0,62,3.5,10,594300.0,127900.0,466400.0,605,employed,rented,high_school,married,resident,no,-0.10002571428571429,0,0.0
1880.0,940.0,2,1,35,0.6,5,266000.0,187600.0,78400.0,619,unemployed,rented,diploma,widowed,citizen,no,0.617857619047619,1,3990.0
15080.0,3770.0,4,0,23,15.6,22,228100.0,102600.0,125500.0,739,employed,rented,diploma,single,resident,no,0.019450000000000002,0,0.0
18950.0,6316.67,3,1,49,3.7,18,749300.0,477800.0,271500.0,665,employed,owned,diploma,married,resident,no,-0.024191666666666667,0,0.0
36820.0,12273.33,3,1,26,12.4,13,186700.0,104500.0,82200.0,579,self_employed,government_housing,diploma,married,resident,no,0.12013476190476191,0,0.0
10940.0,2188.0,5,4,24,17.9,22,317300.0,119500.0,197800.0,560,employed,rented,diploma,single,resident,no,0.35688190476190473,0,0.0
1610.0,1610.0,1,0,52,0.3,0,47000.0,18100.0,28900.0,593,unemployed,rented,diploma,married,citizen,no,0.5413314285714286,1,2010.0
7880.0,1313.33,6,5,40,2.0,8,98800.0,47900.0,50900.0,716,employed,government_housing,postgraduate,married,resident,no,0.48860204166666665,1,8790.0
16000.0,8000.0,2,1,48,17.8,18,396700.0,135000.0,261700.0,605,employed,owned,diploma,married,resident,no,0.004952619047619053,0,0.0
19340.0,3868.0,5,3,54,6.5,8,484800.0,96800.0,388000.0,794,employed,family,postgraduate,single,resident,no,0.01655000000000001,0,0.0
1950.0,487.5,4,3,38,0.4,3,189000.0,3400.0,185600.0,687,unemployed,rented,diploma,married,citizen,no,0.6801962500000001,1,8050.0
8760.0,1752.0,5,2,48,7.2,17,238600.0,92900.0,145700.0,818,employed,owned,none,married,resident,no,0.30607166666666663,1,6080.0
13990.0,2331.67,6,3,45,28.0,24,567200.0,15200.0,552000.0,656,employed,government_housing,high_school,single,citizen,yes,0.4319871249999999,1,5650.0
6960.0,3480.0,2,0,47,9.3,8,367800.0,142900.0,224900.0,650,employed,rented,postgraduate,single,resident,yes,0.31728500000000004,1,1000.0
250.0,62.5,4,2,52,1.6,12,169800.0,12300.0,157500.0,667,student,family,diploma,married,resident,no,0.6045104166666667,1,8780.0
3240.0,648.0,5,4,38,8.0,17,123500.0,28400.0,95100.0,538,retired,rented,diploma,married,resident,no,0.6786483333333333,1,9400.0
2270.0,2270.0,1,0,43,0.4,4,72000.0,35300.0,36700.0,592,unemployed,family,bachelor,married,citizen,no,0.46492285714285714,1,1560.0
8830.0,1766.0,5,2,47,28.6,13,358600.0,23900.0,334700.0,625,employed,rented,diploma,single,resident,no,0.25263238095238094,0,0.0
1730.0,865.0,2,1,27,2.0,18,191100.0,89100.0,102000.0,560,student,rented,high_school,single,resident,no,0.5517494047619047,1,3960.0
950.0,237.5,4,1,30,1.5,5,132300.0,57200.0,75100.0,551,unemployed,family,high_school,married,resident,no,0.736901011904762,1,8630.0
890.0,111.25,8,0,25,1.5,5,77200.0,8200.0,69000.0,720,unemployed,owned,bachelor,married,resident,no,0.6633343749999999,1,15000.0
15790.0,3158.0,5,1,29,12.8,14,212200.0,66000.0,146200.0,674,employed,government_housing,bachelor,married,resident,yes,0.4143883333333333,1,2730.0
7430.0,2476.67,3,0,40,19.2,18,348200.0,31700.0,316500.0,705,employed,owned,high_school,married,citizen,no,0.09809962499999998,0,0.0
36080.0,9020.0,4,3,63,14.8,10,314700.0,24000.0,290700.0,689,employed,rented,postgraduate,married,citizen,no,0.03575500000000001,0,0.0
3620.0,1810.0,2,1,62,28.0,21,173100.0,125700.0,47400.0,474,retired,family,none,divorced,resident,no,0.5011897619047619,1,2940.0
6880.0,2293.33,3,2,55,25.9,9,326600.0,80900.0,245700.0,532,employed,rented,high_school,married,citizen,no,0.27760061309523815,0,0.0
12950.0,1295.0,10,2,46,0.2,11,208700.0,84700.0,124000.0,564,employed,family,bachelor,single,citizen,yes,0.7142220238095238,1,14600.0
13240.0,2648.0,5,3,30,5.9,16,500700.0,179900.0,320800.0,497,employed,rented,bachelor,divorced,resident,no,0.2647485714285714,0,0.0
7080.0,3540.0,2,0,37,2.6,20,366300.0,151600.0,214700.0,741,self_employed,owned,bachelor,divorced,resident,no,0.05160500000000001,0,0.0
9620.0,1374.29,7,6,55,2.4,22,108900.0,7900.0,101000.0,636,employed,family,high_school,divorced,resident,no,0.5055423750000001,1,9950.0
6080.0,1216.0,5,3,61,2.6,12,236400.0,45200.0,191200.0,649,retired,owned,high_school,married,citizen,no,0.48435142857142854,1,7690.0
290.0,48.33,6,1,64,0.1,0,55400.0,9300.0,46100.0,730,unemployed,rented,diploma,divorced,resident,no,0.7117612083333333,1,12920.0
1640.0,410.0,4,3,38,0.3,4,110600.0,76600.0,34000.0,660,unemployed,rented,postgraduate,single,citizen,no,0.7419749999999999,1,8290.0
24850.0,8283.33,3,1,42,21.0,15,743800.0,95900.0,647900.0,609,employed,government_housing,bachelor,divorced,resident,no,-0.13250309523809523,0,0.0
510.0,127.5,4,1,43,1.1,3,71700.0,26100.0,45600.0,594,unemployed,owned,high_school,married,resident,no,0.7350295833333333,1,8850.0
5330.0,761.43,7,3,23,20.5,12,229100.0,31500.0,197600.0,748,self_employed,owned,bachelor,married,citizen,no,0.47017912500000003,1,12040.0
530.0,88.33,6,1,26,1.4,6,56700.0,15100.0,41600.0,608,unemployed,rented,bachelor,widowed,citizen,no,0.7328362083333334,1,12830.0
15800.0,3160.0,5,2,23,3.3,20,500000.0,254500.0,245500.0,796,employed,family,diploma,married,citizen,no,0.1127416666666667,0,0.0
8150.0,1164.29,7,0,54,29.5,17,162600.0,2400.0,160200.0,477,employed,owned,high_school,divorced,resident,no,0.3993045178571429,0,0.0
6040.0,1510.0,4,0,31,18.4,13,179800.0,55100.0,124700.0,637,employed,rented,high_school,single,resident,no,0.28140857142857145,1,5400.0
7110.0,3555.0,2,1,52,25.9,13,286800.0,110700.0,176100.0,603,self_employed,family,high_school,single,resident,no,0.12361797619047621,0,0.0
16510.0,8255.0,2,1,37,16.7,9,321000.0,193200.0,127800.0,536,employed,family,high_school,single,resident,no,0.09124619047619048,0,0.0
5120.0,1024.0,5,0,56,25.8,15,223800.0,162500.0,61300.0,564,employed,rented,high_school,married,resident,no,0.3999878571428571,1,8040.0
11950.0,5975.0,2,0,26,0.8,13,470600.0,35400.0,435200.0,550,employed,rented,none,married,citizen,no,-0.057677142857142844,0,0.0
9970.0,1424.29,7,4,35,18.9,19,504300.0,282900.0,221400.0,666,self_employed,rented,high_school,married,resident,no,0.42061070833333336,0,0.0
7480.0,1496.0,5,0,30,11.3,12,322500.0,44700.0,277800.0,562,employed,family,high_school,divorced,citizen,no,0.2722557142857143,1,6670.0
2750.0,687.5,4,3,40,1.8,20,25300.0,17200.0,8100.0,581,student,owned,high_school,married,citizen,yes,0.9592498214285714,1,8060.0
6330.0,1055.0,6,1,46,19.1,15,133200.0,36900.0,96300.0,648,self_employed,family,high_school,divorced,resident,no,0.40708369047619053,1,9450.0
14080.0,2816.0,5,1,28,26.2,23,366300.0,93100.0,273200.0,703,employed,rented,diploma,married,resident,no,0.10841333333333332,0,0.0
5860.0,976.67,6,3,51,28.4,14,243300.0,55900.0,187400.0,517,self_employed,rented,postgraduate,married,citizen,no,0.5255346249999999,1,9860.0
7190.0,1198.33,6,4,64,28.3,19,144200.0,44600.0,99600.0,465,employed,rented,diploma,single,resident,yes,0.8568754940476191,1,9690.0
220.0,55.0,4,1,22,0.5,16,71000.0,54200.0,16800.0,587,student,rented,high_school,single,citizen,no,0.6572658333333333,1,8880.0
5770.0,1923.33,3,0,24,13.0,19,345200.0,275400.0,69800.0,675,self_employed,rented,diploma,single,resident,yes,0.584195375,1,3990.0
1950.0,487.5,4,2,63,1.9,1,31700.0,6500.0,25200.0,622,unemployed,family,bachelor,divorced,citizen,no,0.7190029166666667,1,8100.0
8440.0,4220.0,2,0,50,7.7,16,281000.0,45000.0,236000.0,553,employed,family,postgraduate,married,resident,no,0.010328571428571437,0,0.0
14690.0,14690.0,1,0,62,19.1,21,566300.0,70900.0,495400.0,673,self_employed,rented,diploma,single,resident,no,-0.09838999999999999,0,0.0
8560.0,2140.0,4,0,52,16.7,16,452000.0,188100.0,263900.0,574,self_employed,rented,high_school,single,resident,no,0.23531357142857143,0,0.0
2250.0,1125.0,2,0,53,0.1,13,131600.0,38800.0,92800.0,691,student,owned,diploma,married,citizen,no,0.44095749999999995,1,3540.0
6180.0,2060.0,3,0,28,14.5,21,307700.0,192900.0,114800.0,606,self_employed,owned,diploma,single,resident,no,0.27821285714285715,1,3330.0
15050.0,3762.5,4,2,44,1.5,13,489400.0,83100.0,406300.0,554,employed,owned,diploma,married,resident,no,0.04353755952380953,0,0.0
14590.0,4863.33,3,2,37,18.5,21,521800.0,397400.0,124400.0,780,employed,family,bachelor,married,resident,no,0.06062666666666666,0,0.0
10440.0,1044.0,10,2,58,4.0,22,279500.0,135900.0,143600.0,764,employed,owned,bachelor,married,resident,no,0.38645666666666667,1,15000.0
11550.0,11550.0,1,0,22,16.3,11,278600.0,63400.0,215200.0,650,self_employed,rented,diploma,married,citizen,no,-0.00032000000000000084,0,0.0
4830.0,966.0,5,2,21,26.1,24,117500.0,20200.0,97300.0,721,employed,owned,diploma,divorced,citizen,no,0.4114366666666666,1,8200.0
7100.0,7100.0,1,0,46,14.7,9,263800.0,194100.0,69700.0,626,employed,rented,none,single,resident,no,0.026819285714285716,0,0.0
2280.0,570.0,4,2,64,1.6,2,183800.0,86100.0,97700.0,521,unemployed,rented,high_school,divorced,resident,yes,1.0420609523809523,1,8420.0
6320.0,2106.67,3,2,65,17.2,23,247700.0,190700.0,57000.0,574,retired,government_housing,bachelor,single,resident,no,0.4406448630952381,1,3500.0
9840.0,2460.0,4,2,47,0.9,17,184900.0,143000.0,41900.0,658,employed,family,none,married,citizen,no,0.26275166666666666,1,3470.0
9180.0,1147.5,8,7,40,9.6,9,202500.0,127000.0,75500.0,689,self_employed,rented,bachelor,married,resident,no,0.5694812499999999,1,12260.0
11520.0,2304.0,5,0,33,2.5,19,272300.0,67700.0,204600.0,755,employed,rented,diploma,divorced,resident,no,0.15669,0,0.0
780.0,260.0,3,0,65,1.3,5,83300.0,46100.0,37200.0,570,unemployed,family,high_school,married,citizen,no,0.7034442857142856,1,6670.0
12530.0,1566.25,8,6,29,29.7,21,240500.0,151400.0,89100.0,689,employed,family,diploma,single,resident,no,0.48011187499999997,1,10460.0
900.0,225.0,4,0,26,0.8,4,66400.0,48700.0,17700.0,550,unemployed,rented,none,single,citizen,no,0.7256353571428572,1,8640.0
910.0,182.0,5,3,43,1.2,2,206600.0,34500.0,172100.0,668,unemployed,rented,diploma,single,resident,no,0.71929,1,10620.0
2170.0,310.0,7,0,38,1.1,0,69800.0,29500.0,40300.0,542,unemployed,government_housing,bachelor,single,resident,no,0.7127342857142857,1,13980.0
8370.0,4185.0,2,1,43,22.9,11,345400.0,155900.0,189500.0,716,employed,family,diploma,married,citizen,no,0.004508333333333336,0,0.0
8770.0,1461.67,6,1,61,7.7,11,356300.0,218800.0,137500.0,663,retired,rented,diploma,married,resident,no,0.4082704583333333,1,8230.0
19780.0,19780.0,1,0,33,18.3,13,320800.0,117100.0,203700.0,511,employed,family,high_school,married,citizen,no,0.04563357142857144,0,0.0
13070.0,3267.5,4,3,60,19.4,8,592200.0,55700.0,536500.0,679,employed,owned,high_school,married,resident,no,0.03213125000000003,0,0.0
12490.0,4163.33,3,2,30,7.3,11,599000.0,9500.0,589500.0,427,self_employed,family,bachelor,married,resident,no,0.06277023809523805,0,0.0
23200.0,5800.0,4,3,35,8.2,21,706600.0,514600.0,192000.0,588,employed,rented,diploma,divorced,resident,no,0.10572857142857144,0,0.0
2490.0,498.0,5,1,21,0.6,5,111600.0,16000.0,95600.0,681,unemployed,owned,high_school,married,resident,no,0.6438483333333332,1,9720.0
720.0,120.0,6,0,51,1.5,2,119900.0,12900.0,107000.0,625,unemployed,rented,bachelor,divorced,resident,no,0.6633357142857143,1,12640.0
8650.0,1730.0,5,4,59,26.7,24,53200.0,12000.0,41200.0,577,employed,rented,high_school,married,resident,no,0.453502619047619,1,6360.0
1910.0,636.67,3,1,60,0.1,11,204500.0,53600.0,150900.0,524,student,family,diploma,single,citizen,no,0.5808929583333333,1,5920.0
17660.0,3532.0,5,3,28,0.4,11,712600.0,181100.0,531500.0,465,employed,rented,diploma,single,resident,no,0.10983928571428578,0,0.0
4470.0,2235.0,2,0,55,2.3,23,236400.0,3200.0,233200.0,568,self_employed,rented,high_school,single,resident,no,0.23879964285714286,0,0.0
7160.0,1193.33,6,5,27,7.7,19,186500.0,62300.0,124200.0,523,employed,family,high_school,married,citizen,no,0.5490184702380954,1,9240.0
750.0,125.0,6,4,49,0.6,15,75500.0,54300.0,21200.0,668,student,rented,bachelor,divorced,resident,no,0.7118508333333334,1,12690.0
6120.0,1530.0,4,2,52,4.3,21,295600.0,228300.0,67300.0,510,employed,family,diploma,single,resident,no,0.4384866666666667,1,5600.0
8700.0,2175.0,4,2,27,3.5,12,341600.0,195200.0,146400.0,553,employed,family,bachelor,single,citizen,no,0.31366773809523807,0,0.0
7690.0,3845.0,2,0,25,4.3,11,246600.0,117200.0,129400.0,700,employed,government_housing,diploma,divorced,resident,yes,0.3096475,0,0.0
1920.0,320.0,6,3,24,1.8,12,26000.0,3500.0,22500.0,791,student,owned,bachelor,married,resident,no,0.6561250000000001,1,12020.0
2380.0,1190.0,2,0,52,4.0,22,78900.0,12000.0,66900.0,539,retired,rented,diploma,married,resident,no,0.4936385714285714,1,3550.0
890.0,222.5,4,1,48,0.9,0,180800.0,127800.0,53000.0,690,unemployed,owned,postgraduate,single,resident,no,0.6897520833333334,1,8590.0
2600.0,866.67,3,1,26,15.5,13,221100.0,89100.0,132000.0,733,retired,rented,postgraduate,married,resident,no,0.47713295833333325,1,5420.0
3610.0,1203.33,3,0,43,9.8,18,153700.0,109800.0,43900.0,568,retired,owned,bachelor,married,resident,no,0.4836175178571429,1,4920.0
15530.0,7765.0,2,1,56,13.5,15,414400.0,26600.0,387800.0,600,self_employed,government_housing,none,married,citizen,no,0.0011747619047619284,0,0.0
8380.0,1676.0,5,1,31,27.9,24,419500.0,297900.0,121600.0,649,employed,rented,high_school,divorced,citizen,no,0.2902947619047619,0,0.0
380.0,63.33,6,2,48,0.1,6,182700.0,97800.0,84900.0,657,unemployed,owned,high_school,single,resident,no,0.7298270416666667,1,12900.0
300.0,75.0,4,2,34,0.7,7,174700.0,33900.0,140800.0,663,unemployed,rented,high_school,married,resident,no,0.7089491666666666,1,8910.0
4950.0,2475.0,2,0,32,10.4,13,223400.0,149900.0,73500.0,677,employed,government_housing,bachelor,divorced,citizen,no,0.18333750000000001,0,0.0
14220.0,3555.0,4,1,38,13.3,19,188800.0,18000.0,170800.0,807,employed,rented,high_school,married,citizen,no,0.06111583333333334,0,0.0
2160.0,1080.0,2,0,36,0.7,6,104100.0,61700.0,42400.0,627,unemployed,government_housing,bachelor,married,citizen,yes,0.8768028571428572,1,4240.0
